word,song,original_deets,kb_deets,original,kb
touch,latch,Disclosure,2015,"I'm so encaptured, got me wrapped up in your touch","I’m so en-captured, got me wrapped up in you so much"
bed,i'm the one,DJ Khaled,2017,"She don't got no bed frame, she don't got no tables",*cuts verse*
bitch,i'm the one,DJ Khaled,2017,"Baby, that's only me, bitch, it okay with me",*cuts verse*
bitch,i'm the one,DJ Khaled,2017,"Well, bitch, you're lookin' at the one","Well, yeah, you're lookin' at the one"
bitch,i'm the one,DJ Khaled,2017,"Bitch, you blow my high",Yeah you blow my mind
body,i'm the one,DJ Khaled,2017,Not just any fuckin' body,Not just any somebody
booty,i'm the one,DJ Khaled,2017,Then she went and put that booty on that Gucci belt,*cuts verse*
bottle,i'm the one,DJ Khaled,2017,"She say she want bottles, she ain't got no table",*cuts verse*
club,i'm the one,DJ Khaled,2017,When I met her in the club I asked her who she felt,*cuts verse*
coochie,i'm the one,DJ Khaled,2017,"She like the price, she see the ice, it make her coochie melt",*cuts verse*
fuck,i'm the one,DJ Khaled,2017,Not just any fuckin' body,Not just any somebody
gang,i'm the one,DJ Khaled,2017,"Mula Gang, winnin' record","With my friends, winnin' record"
god,i'm the one,DJ Khaled,2017,"Oh my God, she hit me up all day, get no response","Oh my gosh, she hit me up all day, get no response"
god,i'm the one,DJ Khaled,2017,"God, forgive me! Tunechi F finessin', I'm a legend","Please forgive me! Listening and dancing', I'm a legend"
god,i'm the one,DJ Khaled,2017,"I'm just flexin' on my exes, oh God",I'm just flexin' on my exes
high,i'm the one,DJ Khaled,2017,"Bitch, you blow my high",Yeah you blow my mind
ice,i'm the one,DJ Khaled,2017,"She like the price, she see the ice, it make her coochie melt",*cuts verse*
molly,i'm the one,DJ Khaled,2017,"And when she on the molly, she a zombie",And when she hear this song she dances crazy
nigga,i'm the one,DJ Khaled,2017,She want a nigga that pull her hair and hold the door for her,*cuts verse*
bitch,no brainer,DJ Khaled,2018,"But we in this bitch, bitch, I'm not no lame",*cuts verse*
blow,no brainer,DJ Khaled,2018,I blow the brains outta your mind (Ooh),We'll make you feel outta your mind (Ooh)
damn,no brainer,DJ Khaled,2018,I'll be your excuse (Damn right),I'll be your excuse (Yeah right)
god,no brainer,DJ Khaled,2018,She told me that she love that I make music for God,*cuts verse*
high,no brainer,DJ Khaled,2018,Way high,*cuts verse*
damn,cake by the ocean,DNCE,2016,"Ah, ya, ya, ya, ya I keep on hopin' we'll eat cake by the ocean (I keep on hopin', hot damn)",Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean
fuck,cake by the ocean,DNCE,2016,Let's lose our minds and go fucking crazy,Let's lose our minds and go crazy crazy
fuck,cake by the ocean,DNCE,2016,"You're fucking delicious, haha",Hey!
fuck,cake by the ocean,DNCE,2016,Let's lose our minds and go fucking crazy,Let's lose our minds and go crazy crazy
fuck,cake by the ocean,DNCE,2016,Let's lose our minds and go (And go what?) fucking crazy (That's right),Let's lose our minds and go crazy crazy
god,cake by the ocean,DNCE,2016,Goddamn,Oh yeah
die,god's plan,Drake,2018,I don't wanna die for them to miss me,I don't wanna go for them to miss me
god,god's plan,Drake,2018,"Might go down a G.O.D., yeah, wait","Might go down that way with me, yeah, wait"
shit,god's plan,Drake,2018,"They gon' tell the story, shit was different with me","They gon' tell the story, that was different with me"
shit,god's plan,Drake,2018,"Someone watchin' this shit close, yep, close","Someone watchin' this stuff close, yeah, close"
champagne,hotline bling,Drake,2016,Glasses of champagne out on the dance floor,Dancing your heart out there on the dance floor
touch,hotline bling,Drake,2016,Why you always touching road?,*cuts verse*
ass,in my feelings,Drake,2018,"Bring that ass, bring that ass, bring that ass back!",*cuts verse*
ass,in my feelings,Drake,2018,"Clap that ass, you're the only one I love",*cuts verse*
bitch,in my feelings,Drake,2018,Two bad bitches and we kissin' in the Wraith,"All of us kids, and we hangin' in the Wraith"
champagne,in my feelings,Drake,2018,I buy you Champagne but you love some Henny,I buy you somethin' cost more than a penny
fuck,in my feelings,Drake,2018,Fuck that Netflix and chill—what's your net-net-net worth?,*cuts verse*
fuck,in my feelings,Drake,2018,Because my Instagram is weak as fuck,*cuts verse*
henny,in my feelings,Drake,2018,I buy you Champagne but you love some Henny,I buy you somethin' cost more than a penny
kill,in my feelings,Drake,2018,I swear you gotta feel me before they try and kill me,I swear you gotta feel me before they try and throw me
kiss,in my feelings,Drake,2018,Two bad bitches and we kissin' in the Wraith,"All of us kids, and we hangin' in the Wraith"
kiss,in my feelings,Drake,2018,"Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith","Hangin'-hangin' in the Wraith, hangin'-hangin' in the Wraith"
neck,in my feelings,Drake,2018,I show him how that neck work,*cuts verse*
nigga,in my feelings,Drake,2018,"I got a new boy, and that nigga trade!",*cuts verse*
nigga,in my feelings,Drake,2018,Shawty say the nigga that she with can't hit,*cuts verse*
shit,in my feelings,Drake,2018,This shit got me in my feelings,I buy you somethin' cost more than a penny
shit,in my feelings,Drake,2018,"I'm just being real, my shit, look,–",*cuts verse*
smoke,in my feelings,Drake,2018,Skate and Smoke and Rap,*cuts verse*
hennessy,one dance,Drake,2016,Got a Hennessy in my hand,Got both of your hands in my hands
wine,one dance,Drake,2016,"Wine it, wine it, very long time","Love me, love me, very long time"
wine,one dance,Drake,2016,"Back up, back up, back up and wine it","Get up, get up, get up and sing it"
kiss,he loves u not,Dream (Girl Group),2002,(Sweet kiss),*cuts verse*
bed,new rules,Dua Lipa,2018,You know you're gonna wake up in his bed in the morning,You know you're gonna meet up with your friends in the morning
drunk,new rules,Dua Lipa,2018,You know he's only callin' 'cause he's drunk and alone,You know he's only callin' 'cause he's sad and alone
sleep,new rules,Dua Lipa,2018,"Eat, sleep, and breathe it",*cuts verse*
champagne,beautiful people,Ed Sheeran,2019,Champagne and rolled-up notes,In pain and no one knows
cigarette,castle on the hill,Ed Sheeran,2017,Fifteen years old and smoking hand-rolled cigarettes,"Once we got older, hoping the fun never ends"
clothes,castle on the hill,Ed Sheeran,2017,One friend left to sell clothes,*cuts verse*
drink,castle on the hill,Ed Sheeran,2017,We'd buy cheap spirits and drink them straight,We'd buy cheap toys and then they'd break
drunk,castle on the hill,Ed Sheeran,2017,Running from the law through the backfields and getting drunk with my friends,Running down the road through the back fields and hanging out with my friends
kiss,castle on the hill,Ed Sheeran,2017,"Had my first kiss on a Friday night, I don't reckon that I did it right","Had my first job on a Friday night, I don't reckon I did it right"
overdose,castle on the hill,Ed Sheeran,2017,One's brother overdosed,*cuts verse*
smoking,castle on the hill,Ed Sheeran,2017,Fifteen years old and smoking hand-rolled cigarettes,"Once we got older, hoping the fun never ends"
spirits,castle on the hill,Ed Sheeran,2017,We'd buy cheap spirits and drink them straight,We'd buy cheap toys and then they'd break
bar,galway girl,Ed Sheeran,2019,I met her on Grafton street right outside of the bar,I met her on Grafton Street right outside of the store
bar,galway girl,Ed Sheeran,2019,"Chatted some more, one more drink at the bar","Chatted some more, one more song on guitar"
bar,galway girl,Ed Sheeran,2019,A cappella in the bar using her feet for a beat,A cappella in the back using her feet for a beat
bottle,galway girl,Ed Sheeran,2019,To finish some Doritos and another bottle of wine,*cuts verse*
cigarette,galway girl,Ed Sheeran,2019,She shared a cigarette with me while her brother played the guitar,She sang a song and taught me while her brother played the guitar
drink,galway girl,Ed Sheeran,2019,"Said it was one of my friend's songs, do you want to drink on?","Said, ""It was one of my friend's songs, do you want to sing on?"""
